r_vx,r_vy,r_mod,rcc,mae_vx,mae_vy,mae_mod,rmse_vx,rmse_vy,rmse_mod
6.674143e-01,7.571155e-01,4.146103e-01,8.865789e-01,3.485445e+00,5.275945e+00,4.289908e+00,4.329954e+00,6.284844e+00,5.251729e+00
6.721822e-01,7.724653e-01,5.035251e-01,8.816502e-01,3.360107e+00,5.003614e+00,4.048809e+00,4.116110e+00,6.148756e+00,4.961151e+00
6.984908e-01,7.190874e-01,4.398582e-01,8.700492e-01,2.999479e+00,5.434014e+00,4.117586e+00,3.730651e+00,6.598432e+00,5.187611e+00
